               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.029593,            0.032217,           0.0049845,             0.92392,             0.88596,              0.9527,             0.74487,            0.026106,            0.019626,           0.0026119,            0.002179,            0.002179,            0.002179
                  81,            0.031807,             0.04013,           0.0049539,             0.87294,             0.93326,             0.95176,              0.7458,            0.025623,            0.019396,           0.0025827,             0.00208,             0.00208,             0.00208
                  82,            0.033472,            0.033908,           0.0054976,             0.92468,             0.88656,             0.95288,             0.74187,            0.026162,            0.019371,           0.0025481,            0.001981,            0.001981,            0.001981
                  83,            0.029633,            0.037411,           0.0044722,             0.91077,             0.89429,              0.9494,             0.75201,            0.025555,             0.01928,           0.0025205,            0.001882,            0.001882,            0.001882
                  84,             0.03135,            0.036366,           0.0047989,             0.91225,             0.89434,             0.95429,             0.75406,            0.025468,             0.01919,            0.002487,            0.001783,            0.001783,            0.001783
                  85,            0.027962,            0.032478,           0.0050166,             0.91074,             0.89532,             0.94379,             0.75454,            0.025207,            0.019098,           0.0024485,            0.001684,            0.001684,            0.001684
                  86,            0.032008,            0.037217,           0.0053565,             0.88854,             0.92679,             0.95466,             0.76162,             0.02509,            0.018979,           0.0024136,            0.001585,            0.001585,            0.001585
                  87,             0.02923,              0.0341,           0.0046524,             0.88593,             0.92734,             0.95669,             0.75981,            0.025165,            0.018915,           0.0023884,            0.001486,            0.001486,            0.001486
                  88,            0.028982,            0.033407,           0.0045352,             0.88604,             0.91329,             0.95186,               0.765,            0.025169,             0.01888,            0.002369,            0.001387,            0.001387,            0.001387
                  89,            0.029681,             0.03438,           0.0048454,             0.88926,              0.9144,             0.95403,             0.76627,            0.024831,            0.018751,           0.0023566,            0.001288,            0.001288,            0.001288
                  90,            0.029753,            0.035215,           0.0054217,             0.89053,             0.91385,             0.95467,             0.76941,            0.024541,            0.018631,           0.0023376,            0.001189,            0.001189,            0.001189
                  91,            0.030184,            0.037001,           0.0046479,              0.9121,             0.89744,             0.95479,             0.77157,            0.024356,            0.018542,           0.0023334,             0.00109,             0.00109,             0.00109
                  92,            0.028953,             0.03594,           0.0044806,             0.89143,             0.91571,             0.95526,             0.77266,            0.024317,            0.018477,           0.0023189,            0.000991,            0.000991,            0.000991
                  93,            0.029276,            0.038993,           0.0042385,             0.89681,             0.91956,             0.95777,              0.7717,            0.024209,            0.018418,           0.0023158,            0.000892,            0.000892,            0.000892
                  94,            0.029599,            0.037062,           0.0051534,             0.89044,             0.93554,             0.95804,             0.77488,            0.023993,            0.018318,           0.0023081,            0.000793,            0.000793,            0.000793
                  95,            0.027581,            0.034195,           0.0041901,             0.89208,              0.9211,             0.95811,             0.77307,            0.023923,            0.018248,           0.0022923,            0.000694,            0.000694,            0.000694
                  96,             0.02847,            0.034628,           0.0044146,              0.8949,             0.92145,             0.95998,             0.77624,            0.023891,            0.018194,           0.0022831,            0.000595,            0.000595,            0.000595
                  97,            0.030088,            0.038359,           0.0048117,             0.91407,              0.9104,             0.96109,               0.778,            0.023913,            0.018171,           0.0022767,            0.000496,            0.000496,            0.000496
                  98,            0.027795,            0.035837,           0.0048847,             0.89223,             0.92314,             0.96121,             0.77936,             0.02371,            0.018085,           0.0022701,            0.000397,            0.000397,            0.000397
                  99,            0.030482,            0.038626,           0.0045724,             0.89021,              0.9252,             0.96155,             0.78145,             0.02361,            0.018048,           0.0022629,            0.000298,            0.000298,            0.000298
